Location,Student,Fac/Staff,Visitor/Meter,Reserved,Disabled,Reduced,Time,Day
East 2 Level 1,0.0,,,,17.0,,18:00,Monday
East 1 Level 1,,88.0,,12.0,6.0,,18:00,Monday
East 1 Level 2,,102.0,44.0,,,,18:00,Monday
East 1 Level 3,,113.0,49.0,,,,18:00,Monday
East 1 Level 4,,78.0,33.0,,,,18:00,Monday
North Level 6,144.0,,,,,,10:00,Tuesday
North Level 5,178.0,,,,,,10:00,Tuesday
North Level 4,158.0,,,,,,10:00,Tuesday
North Level 3,49.0,,,,,,10:00,Tuesday
North Level 2,2.0,,,,,,10:00,Tuesday
North Level 1,2.0,,,0.0,15.0,,10:00,Tuesday
Union Level 6,,20.0,20.0,1.0,1.0,,10:00,Tuesday
Union Level 5,,87.0,87.0,1.0,1.0,,10:00,Tuesday
Union Level 4,6.0,0.0,0.0,,1.0,,10:00,Tuesday
Union Level 3,32.0,,,,3.0,,10:00,Tuesday
Union Level 2,0.0,,,,1.0,,10:00,Tuesday
Union Level 1,1.0,,,0.0,2.0,,10:00,Tuesday
CRI Deck 1 Level 7,45.0,46.0,45.0,,,,10:00,Tuesday
CRI Deck 1 Level 6,67.0,67.0,67.0,,2.0,,10:00,Tuesday
CRI Deck 1 Level 5,61.0,62.0,61.0,,3.0,,10:00,Tuesday
CRI Deck 1 Level 4,19.0,19.0,19.0,,7.0,,10:00,Tuesday
CRI Deck 1 Level 3,35.0,36.0,35.0,0.0,4.0,,10:00,Tuesday
CRI Deck 1 Level 2,13.0,13.0,12.0,0.0,4.0,,10:00,Tuesday
CRI Deck 1 Level 1,35.0,35.0,35.0,,2.0,,10:00,Tuesday
West Level 2,4.0,,,,,,10:00,Tuesday
West Level 3,0.0,,,2.0,,,10:00,Tuesday
West Level 4,0.0,,,,,,10:00,Tuesday
West Level 5,12.0,,,,,,10:00,Tuesday
South Village Level 1,0.0,0.0,87.0,9.0,4.0,,10:00,Tuesday
South Village Level 2,0.0,0.0,,0.0,0.0,,10:00,Tuesday
South Village Level 3,1.0,1.0,,2.0,1.0,,10:00,Tuesday
South Village Level 4,2.0,1.0,,,0.0,,10:00,Tuesday
South Village Level 5,9.0,8.0,,,0.0,,10:00,Tuesday
South Village Level 6,47.0,47.0,,,0.0,,10:00,Tuesday
East 3 Level 1,0.0,,,0.0,4.0,,10:00,Tuesday
East 3 Level 2,0.0,,,,,,10:00,Tuesday
East 3 Level 3,0.0,,,,,,10:00,Tuesday
East 3 Level 4,2.0,,,,,,10:00,Tuesday
East 3 Level 5,89.0,,,,,,10:00,Tuesday
East 2 Level 4,0.0,,,,,,10:00,Tuesday
East 2 Level 3,0.0,,,,,,10:00,Tuesday
East 2 Level 2,0.0,,,,,,10:00,Tuesday
East 2 Level 1,0.0,,,,0.0,,10:00,Tuesday
East 1 Level 1,,0.0,,5.0,2.0,,10:00,Tuesday
East 1 Level 2,,9.0,4.0,,,,10:00,Tuesday
East 1 Level 3,,102.0,43.0,,,,10:00,Tuesday
East 1 Level 4,,78.0,33.0,,,,10:00,Tuesday
North Level 6,144.0,,,,,,12:00,Tuesday
North Level 5,169.0,,,,,,12:00,Tuesday
North Level 4,124.0,,,,,,12:00,Tuesday
North Level 3,22.0,,,,,,12:00,Tuesday
North Level 2,4.0,,,,,,12:00,Tuesday
North Level 1,5.0,,,0.0,14.0,,12:00,Tuesday
Union Level 6,,10.0,10.0,1.0,0.0,,12:00,Tuesday
Union Level 5,,80.0,80.0,1.0,3.0,,12:00,Tuesday
Union Level 4,1.0,3.0,3.0,,2.0,,12:00,Tuesday
Union Level 3,1.0,,,,2.0,,12:00,Tuesday
Union Level 2,0.0,,,,0.0,,12:00,Tuesday
Union Level 1,0.0,,,0.0,4.0,,12:00,Tuesday
CRI Deck 1 Level 7,45.0,46.0,45.0,,,,12:00,Tuesday
CRI Deck 1 Level 6,66.0,67.0,66.0,,2.0,,12:00,Tuesday
CRI Deck 1 Level 5,59.0,60.0,59.0,,4.0,,12:00,Tuesday
CRI Deck 1 Level 4,28.0,28.0,28.0,,6.0,,12:00,Tuesday
CRI Deck 1 Level 3,30.0,30.0,29.0,0.0,4.0,,12:00,Tuesday
CRI Deck 1 Level 2,8.0,8.0,8.0,0.0,4.0,,12:00,Tuesday
CRI Deck 1 Level 1,36.0,36.0,35.0,,2.0,,12:00,Tuesday
West Level 2,0.0,,,,,,12:00,Tuesday
West Level 3,0.0,,,1.0,,,12:00,Tuesday
West Level 4,0.0,,,,,,12:00,Tuesday
West Level 5,0.0,,,,,,12:00,Tuesday
South Village Level 1,1.0,0.0,89.0,5.0,2.0,,12:00,Tuesday
South Village Level 2,0.0,0.0,,0.0,1.0,,12:00,Tuesday
South Village Level 3,0.0,0.0,,1.0,1.0,,12:00,Tuesday
South Village Level 4,1.0,0.0,,,0.0,,12:00,Tuesday
South Village Level 5,4.0,4.0,,,0.0,,12:00,Tuesday
South Village Level 6,33.0,32.0,,,1.0,,12:00,Tuesday
East 3 Level 1,0.0,,,1.0,0.0,,12:00,Tuesday
East 3 Level 2,0.0,,,,,,12:00,Tuesday
East 3 Level 3,0.0,,,,,,12:00,Tuesday
East 3 Level 4,0.0,,,,,,12:00,Tuesday
East 3 Level 5,0.0,,,,,,12:00,Tuesday
East 2 Level 4,0.0,,,,,,12:00,Tuesday
East 2 Level 3,0.0,,,,,,12:00,Tuesday
East 2 Level 2,0.0,,,,,,12:00,Tuesday
East 2 Level 1,0.0,,,,2.0,,12:00,Tuesday
East 1 Level 1,,0.0,,4.0,4.0,,12:00,Tuesday
East 1 Level 2,,20.0,8.0,,,,12:00,Tuesday
East 1 Level 3,,102.0,44.0,,,,12:00,Tuesday
East 1 Level 4,,78.0,33.0,,,,12:00,Tuesday
North Level 6,145.0,,,,,,14:00,Tuesday
North Level 5,166.0,,,,,,14:00,Tuesday
North Level 4,98.0,,,,,,14:00,Tuesday
North Level 3,7.0,,,,,,14:00,Tuesday
North Level 2,1.0,,,,,,14:00,Tuesday
North Level 1,0.0,,,1.0,15.0,,14:00,Tuesday
Union Level 6,,11.0,11.0,1.0,0.0,,14:00,Tuesday
Union Level 5,,80.0,79.0,2.0,0.0,,14:00,Tuesday
Union Level 4,0.0,0.0,0.0,,0.0,,14:00,Tuesday
Union Level 3,0.0,,,,0.0,,14:00,Tuesday
Union Level 2,0.0,,,,0.0,,14:00,Tuesday
Union Level 1,0.0,,,0.0,4.0,,14:00,Tuesday
CRI Deck 1 Level 7,45.0,45.0,45.0,,,,14:00,Tuesday
CRI Deck 1 Level 6,68.0,68.0,67.0,,2.0,,14:00,Tuesday
CRI Deck 1 Level 5,58.0,59.0,58.0,,4.0,,14:00,Tuesday
CRI Deck 1 Level 4,26.0,27.0,26.0,,7.0,,14:00,Tuesday
CRI Deck 1 Level 3,16.0,16.0,15.0,0.0,4.0,,14:00,Tuesday
CRI Deck 1 Level 2,6.0,6.0,5.0,0.0,4.0,,14:00,Tuesday
CRI Deck 1 Level 1,36.0,36.0,35.0,,2.0,,14:00,Tuesday
West Level 2,0.0,,,,,,14:00,Tuesday
West Level 3,0.0,,,1.0,,,14:00,Tuesday
West Level 4,0.0,,,,,,14:00,Tuesday
West Level 5,2.0,,,,,,14:00,Tuesday
South Village Level 1,2.0,1.0,81.0,6.0,3.0,,14:00,Tuesday
South Village Level 2,2.0,2.0,,1.0,2.0,,14:00,Tuesday
South Village Level 3,2.0,2.0,,2.0,0.0,,14:00,Tuesday
South Village Level 4,1.0,0.0,,,1.0,,14:00,Tuesday
South Village Level 5,17.0,17.0,,,1.0,,14:00,Tuesday
South Village Level 6,44.0,43.0,,,1.0,,14:00,Tuesday
East 3 Level 1,8.0,,,10.0,3.0,,14:00,Tuesday
East 3 Level 2,20.0,,,,,,14:00,Tuesday
East 3 Level 3,38.0,,,,,,14:00,Tuesday
East 3 Level 4,40.0,,,,,,14:00,Tuesday
East 3 Level 5,10.0,,,,,,14:00,Tuesday
East 2 Level 4,22.0,,,,,,14:00,Tuesday
East 2 Level 3,18.0,,,,,,14:00,Tuesday
East 2 Level 2,10.0,,,,,,14:00,Tuesday
East 2 Level 1,4.0,,,,15.0,,14:00,Tuesday
East 1 Level 1,,11.0,,5.0,1.0,,14:00,Tuesday
East 1 Level 2,,24.0,10.0,,,,14:00,Tuesday
East 1 Level 3,,101.0,43.0,,,,14:00,Tuesday
East 1 Level 4,,78.0,33.0,,,,14:00,Tuesday
North Level 6,142.0,,,,,,16:00,Tuesday
North Level 5,172.0,,,,,,16:00,Tuesday
North Level 4,142.0,,,,,,16:00,Tuesday
North Level 3,75.0,,,,,,16:00,Tuesday
North Level 2,54.0,,,,,,16:00,Tuesday
North Level 1,35.0,,,1.0,16.0,,16:00,Tuesday
Union Level 6,,27.0,26.0,1.0,1.0,,16:00,Tuesday
Union Level 5,,86.0,86.0,2.0,2.0,,16:00,Tuesday
Union Level 4,51.0,10.0,10.0,,2.0,,16:00,Tuesday
Union Level 3,143.0,,,,3.0,,16:00,Tuesday
Union Level 2,75.0,,,,1.0,,16:00,Tuesday
Union Level 1,20.0,,,0.0,5.0,,16:00,Tuesday
CRI Deck 1 Level 7,45.0,46.0,45.0,,,,16:00,Tuesday
CRI Deck 1 Level 6,66.0,67.0,66.0,,2.0,,16:00,Tuesday
CRI Deck 1 Level 5,62.0,62.0,62.0,,4.0,,16:00,Tuesday
CRI Deck 1 Level 4,35.0,35.0,35.0,,6.0,,16:00,Tuesday
CRI Deck 1 Level 3,38.0,38.0,38.0,1.0,4.0,,16:00,Tuesday
CRI Deck 1 Level 2,24.0,24.0,24.0,1.0,4.0,,16:00,Tuesday
CRI Deck 1 Level 1,34.0,35.0,34.0,,2.0,,16:00,Tuesday
West Level 2,31.0,,,,,,16:00,Tuesday
West Level 3,30.0,,,3.0,,,16:00,Tuesday
West Level 4,34.0,,,,,,16:00,Tuesday
